Source,Target,Direction,Data,Frequency,Type
Node002,Node147,1,Derived Data,EOD,Batch
Node003,Node050,2,Settlements,EOD,Batch
Node005,Node031,1,IBank Orders,Intraday,API
Node005,Node045,1,IBank Orders,Intraday,API
Node005,Node169,1,IBank Orders,Intraday,API
Node005,Node170,1,IBank Orders,Intraday,API
Node005,Node023,1,IBank Orders,Intraday,API
Node005,Node118,1,IBank Orders,Intraday,API
Node005,Node151,1,Direct Trader Deals,Intraday,API
Node006,Node146,1,License,Intraday,API
Node007,Node078,2,RFQ,Intraday,API
Node007,Node097,1,"Trades, Block allocation",Intraday,MSG
Node007,Node103,1,"Trades, Block allocation",EOD,Batch
Node008,Node002,1,Trades,EOD,Batch
Node008,Node090,1,Trades,Intraday,API
Node008,Node146,1,Manual keying to VCON (affirmation),Intraday,API
Node008,Node147,1,Trades,EOD,Batch
Node009,Node002,1,Market Data,EOD,Batch
Node009,Node078,1,Reference Data,EOD,Batch
Node011,Node131,1,Equities & futures,Intraday,API
Node009,Node147,1,Market Data,EOD,Batch
Node010,Node146,1,Confirmation,Intraday,API
Node013,Node079,1,"Customer, Facility",Intraday,MSG
Node014,Node131,1,Warrants,Intraday,API
Node016,Node020,2,Commerical Bill Drawdowns,Intraday,MSG
Node019,Node125,1,"Sales Orders, Trades",Intraday,API
Node020,Node013,1,Trade Event (Sales $val),Intraday,MSG
Node020,Node027,1,Reports,EOD,Batch
Node020,Node046,1,Daily Trades,EOD,Batch
Node020,Node069,1,"Daily Trades, Active Deals, Static Ref Data",EOD,Batch
Node020,Node083,1,Customer Advices,EOD,Batch
Node020,Node105,1,"AU Cash, NZ Cash",Intraday,MSG
Node021,Node091,1,Swift Payment,Intraday,MSG
Node021,Node105,1,Payments (VIPA format),Intraday,MSG
Node023,Node090,2,Trades,Intraday,API
Node024,Node131,1,Routed Executions,Intraday,API
Node026,Node012,1,Usage Drawdowns,Intraday,MSG
Node026,Node020,1,Commerical Bill Drawdowns,Intraday,MSG
Node028,Node113,1,PFE’s,Intraday,MSG
Node031,Node005,1,IBank Trades,Intraday,API
Node031,Node047,1,Blocks & Allocations,Intraday,API
Node032,Node125,1,Sales Orders & Trades,Intraday,API
Node033,Node151,1,MM,Intraday,API
Node034,Node151,1,Fwd Pts,Intraday,API
Node035,Node117,1,Entitlement,Intraday,API
Node037,Node092,1,FX Transaction thru MATI,Intraday,MSG
Node038,Node025,1,"Daily Trades, Customer Info",EOD,Batch
Node038,Node100,1,Positions,EOD,Batch
Node038,Node013,1,Trade Event (Sales $val),Intraday,MSG
Node038,Node109,1,G/L Entries,EOD,Batch
Node038,Node111,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node039,Node015,1,Cashflow of NZ Trades,EOD,Batch
Node039,Node017,1,Active Deals,EOD,Batch
Node039,Node018,1,Audit Confirmation Info,EOD,Batch
Node039,Node101,1,Asset & Liability Info,EOD,Batch
Node042,Node131,1,Exposures,Intraday,API
Node045,Node005,1,IBank Trades,Intraday,API
Node045,Node151,1,Trades,Intraday,API
Node047,Node040,2,Ticket,Intraday,MSG
Node047,Node044,2,"Spot Prices, Fwd Prices",Intraday,MSG
Node047,Node087,1,NZ FX,Intraday,MSG
Node047,Node131,1,Trades (NDF & PM),Intraday,MSG
Node047,Node151,1,"FX, MMI",Intraday,MSG
Node049,Node097,1,Trades,Intraday,MSG
Node052,Node078,1,Publish Curves,Intraday,MSG
Node053,Node036,1,BI Data,EOD,Batch
Node053,Node036,1,BI Data,EOD,Batch
Node053,Node060,1,"Markets, Trades Positions",EOD,Batch
Node053,Node110,1,BI Data,EOD,Batch
Node053,Node145,1,"Markets, Trades Positions",EOD,Batch
Node053,Node145,1,"Markets, Trades Positions",EOD,Batch
Node054,Node030,1,Customer Accounting Entries (Internal),EOD,Batch
Node054,Node105,1,"AU Cash, NZ Cash",Intraday,MSG
Node054,Node113,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node054,Node122,1,Trade Events,Intraday,MSG
Node054,Node136,1,Daily Trades,EOD,Batch
Node055,Node131,1,FX Option,Intraday,MSG
Node057,Node146,1,Manual keying to VCON (affirmation),Intraday,API
Node058,Node052,1,Authorisation,Intraday,MSG
Node058,Node056,1,Authorisation,Intraday,MSG
Node055,Node097,1,Trades,Intraday,MSG
Node055,Node098,1,Trades,Intraday,MSG
Node059,Node066,1,"RFQ, Trade",Intraday,MSG
Node061,Node087,1,MM,Intraday,MSG
Node062,Node059,1,FX Quote,Intraday,API
Node063,Node047,1,"Blocks, Allocations",Intraday,API
Node064,Node125,1,Orders. Trades,Intraday,API
Node066,Node004,1,"RFQ, Trades",Intraday,API
Node066,Node047,1,Client Deal,Intraday,MSG
Node066,Node064,1,Client Tiered Rates,Intraday,MSG
Node066,Node065,1,FX Ref Rates,EOD,Batch
Node066,Node070,1,"RFQ, Rates",Intraday,MSG
Node066,Node073,1,Trades,Intraday,API
Node066,Node098,1,Trades,Intraday,MSG
Node066,Node107,2,Cpty Limit Check,Intraday,MSG
Node066,Node151,1,MM,Intraday,MSG
Node067,Node125,1,"Sales, Orders, Trades",Intraday,API
Node068,Node097,1,Manual trade entry for risk and after cleared,Intraday,API
Node068,Node147,1,Market Data,EOD,Batch
Node070,Node092,1,"Beneficiary, Payment Management",Intraday,MSG
Node074,Node065,1,FX Quote,Intraday,API
Node075,Node097,1,"Voice Trade manual entry for risk, Manual trade entry for risk and after cleared",Intraday,API
Node075,Node146,1,Manual keying to VCON (affirmation),Intraday,API
Node075,Node147,1,Market Data,EOD,Batch
Node076,Node090,1,Trades,Intraday,API
Node077,Node097,1,Manual trade entry for risk and after cleared,Intraday,API
Node078,Node056,1,Mkt & closing data,EOD,Batch
Node078,Node097,1,Trades,Intraday,MSG
Node078,Node116,1,"Trades, Prices, RFQ",Intraday,MSG
Node078,Node147,1,"EOD bond Pricing, Rates",EOD,Batch
Node080,Node131,1,Equities,Intraday,MSG
Node083,Node041,1,"Confirmation, Matching",Intraday,MSG
Node084,Node090,2,Trades,Intraday,API
Node085,Node028,1,Trades,EOD,Batch
Node085,Node131,1,Reference Data,EOD,Batch
Node087,Node030,1,Customer Accounting Entries (Internal),EOD,Batch
Node087,Node105,1,"AU Cash, NZ Cash",Intraday,MSG
Node087,Node113,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node087,Node122,1,Trades,Intraday,MSG
Node087,Node136,1,Daily Trades,EOD,Batch
Node088,Node078,1,Credit curves,EOD,Batch
Node088,Node147,1,Market Data,EOD,Batch
Node090,Node097,1,Trades,Intraday,MSG
Node090,Node098,1,Trades,Intraday,MSG
Node091,Node030,1,Customer Accounting Entries (Internal),Intraday,MSG
Node091,Node113,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node091,Node134,1,Payments,Intraday,API
Node091,Node134,1,Payments,Intraday,API
Node091,Node136,1,Daily Trades,EOD,Batch
Node091,Node141,1,"Confirmation, Matching",EOD,Batch
Node092,Node013,1,Trades,Intraday,MSG
Node092,Node022,1,Payment Instructions,Intraday,MSG
Node092,Node030,1,Customer Accounting Entries (Internal),EOD,Batch
Node092,Node040,1,"Confirmation, Matching",Intraday,MSG
Node092,Node048,1,"Confirmation, Matching",Intraday,MSG
Node092,Node050,1,Settlements,EOD,Batch
Node092,Node072,1,Payment Instructions,Intraday,MSG
Node092,Node091,1,Payment Instructions,Intraday,MSG
Node093,Node091,1,Payments,Intraday,MSG
Node092,Node094,1,Trades,EOD,Batch
Node092,Node105,1,"AU Cash, NZ Cash, Payment Instructions",Intraday,MSG
Node092,Node113,1,"Trades, POS, MTM, Cashflows",EOD,Batch
Node092,Node119,1,"Confirmation, Matching",Intraday,MSG
Node092,Node122,1,Trades,Intraday,MSG
Node092,Node130,1,"Confirmation, Matching",EOD,Batch
Node092,Node136,1,Daily Trades,EOD,Batch
Node092,Node140,1,"Confirmation, Matching",EOD,Batch
Node092,Node141,1,"Confirmation, Matching",EOD,Batch
Node092,Node151,1,"Spot Rates, Carded Position",EOD,Batch
Node096,Node089,1,Results,Intraday,MSG
Node097,Node021,1,Payment Instructions,Intraday,MSG
Node097,Node028,1,Razor Feed (MTM),EOD,Batch
Node097,Node051,1,Manual process AU & NZ extract file,EOD,Batch
Node097,Node053,1,various batch files,EOD,Batch
Node097,Node053,1,various batch files,EOD,Batch
Node097,Node056,1,Positions / Trade Valuation,Intraday,MSG
Node097,Node085,1,"Trades, Reference data",EOD,Batch
Node097,Node092,1,Finance Journals (Mirror Account),EOD,Batch
Node097,Node103,1,"Trades, EOD valuation",EOD,Batch
Node097,Node123,1,Trades,Intraday,MSG
Node097,Node136,1,Cashflows,EOD,Batch
Node097,Node148,1,"Market Data, Prices",Intraday,API
Node097,Node149,1,Payment Instructions,Intraday,MSG
Node098,Node021,1,Payment Instructions,Intraday,MSG
Node098,Node053,1,various batch files,EOD,Batch
Node098,Node085,1,Trade Feed,EOD,Batch
Node098,Node136,1,Cashflows,EOD,Batch
Node098,Node148,1,Market Data / Prices,Intraday,API
Node098,Node149,1,Payment Instructions,Intraday,MSG
Node100,Node101,1,Positions,EOD,Batch
Node102,Node146,1,Manual keying to VCON (affirmation),Intraday,API
Node103,Node043,1,Regulatory Reports,EOD,Batch
Node104,Node092,1,FX Transaction thru MATI,Intraday,MSG
Node105,Node091,2,Payment Instructions,Intraday,MSG
Node105,Node141,2,"Confirmation, Matching",EOD,Batch
Node106,Node065,1,FX Accept,Intraday,MSG
Node072,Node092,1,FX Transaction thru MATI,Intraday,MSG
Node108,Node145,1,Curves,EOD,Batch
Node111,Node013,1,"Trades, POS",Intraday,API
Node112,Node028,1,EOD Zero Curves,EOD,Batch
Node113,Node028,1,"Position, MTM, Limits",EOD,Batch
Node113,Node079,1,Open MM Deals,Intraday,MSG
Node113,Node107,1,"Limits, Utilisation",EOD,Batch
Node113,Node122,1,"List of collateral, Trades",EOD,Batch
Node114,Node151,1,Trades,Intraday,API
Node115,Node147,1,Market Data,EOD,Batch
Node116,Node078,2,"Trades, Prices, RFQ",Intraday,API
Node117,Node035,2,Trades,Intraday,API
Node117,Node116,2,"Trades, Prices, RFQ",Intraday,API
Node118,Node002,1,Market Data,EOD,Batch
Node118,Node066,1,ANZ Prices,Intraday,API
Node118,Node078,1,Reference Data,EOD,Batch
Node118,Node147,1,Market Data,EOD,Batch
Node120,Node056,1,Issuer limit,Intraday,MSG
Node121,Node125,1,"Sales, Orders, Trades",Intraday,API
Node122,Node113,1,Collateral balances,EOD,Batch
Node123,Node097,2,Trades,Intraday,MSG
Node124,Node097,1,Trades,Intraday,MSG
Node125,Node019,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node125,Node032,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node125,Node047,1,SPDEE Sales Trade (Spot),Intraday,MSG
Node125,Node066,2,"Client Tier Spread Mgt, SPDEE Sales Trade (Fwd&Swap)",Intraday,MSG
Node125,Node067,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node125,Node107,2,Credit Check,Intraday,MSG
Node125,Node121,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node125,Node128,1,"Spot Prices, Fwd Prices",Intraday,MSG
Node125,Node135,1,ANZ Prices,Intraday,MSG
Node126,Node047,1,MFX Deals,Intraday,MSG
Node127,Node131,1,Structured deals,Intraday,MSG
Node128,Node125,1,"Sales, Orders, Trades",Intraday,API
Node129,Node092,1,BID Utilisation,Intraday,MSG
Node129,Node122,1,"Confirmation, Matching",Intraday,MSG
Node131,Node097,1,"Routed Executions, Trades",Intraday,MSG
Node131,Node098,1,Routed Executions,Intraday,MSG
Node132,Node122,1,"Confirmation, Matching",Intraday,MSG
Node133,Node147,1,Market Data,EOD,Batch
Node137,Node147,1,Market Data,EOD,Batch
Node139,Node054,1,"FX, MM",Intraday,MSG
Node135,Node066,1,ANZ Prices,Intraday,MSG
Node142,Node078,2,REQ,Intraday,API
Node142,Node090,1,Trades,Intraday,API
Node143,Node059,1,FX Quote,Intraday,MSG
Node144,Node097,1,"Voice Trade manual entry for risk, Manual trade entry for risk and after cleared",Intraday,API
Node144,Node146,1,Manual keying to VCON (affirmation),Intraday,API
Node144,Node147,1,Market Data,EOD,Batch
Node146,Node010,1,Trades,Intraday,API
Node146,Node097,1,Trades,Intraday,MSG
Node147,Node092,1,Markets Data,EOD,Batch
Node147,Node097,1,"Market Data, Derived Data",EOD,Batch
Node147,Node098,1,Market Data,EOD,Batch
Node147,Node107,1,Markets Data,EOD,Batch
Node147,Node113,1,Markets Data,EOD,Batch
Node150,Node131,1,Routed Executions,Intraday,MSG
Node151,Node092,1,FX & MM Trades,Intraday,MSG
Node151,Node096,1,Portfolio CCY Ladders,EOD,Batch
Node151,Node125,1,CCY Holiday ,EOD,Batch
Node151,Node129,1,FX Bid,Intraday,MSG
Node151,Node131,1,Trades,Intraday,MSG
Node151,Node132,1,FX Bid,Intraday,MSG
Node152,Node097,1,Trades,Intraday,MSG
Node169,Node005,1,IBank Trades,Intraday,API
Node170,Node005,1,IBank Trades,Intraday,API
Node023,Node005,1,IBank Trades,Intraday,API
Node118,Node005,1,IBank Trades,Intraday,API
Node005,Node171,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node172,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node173,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node174,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node175,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node176,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node005,Node177,2,"IBank Orders, Market Price, IBank Trades",Intraday,API
Node123,Node161,2,"Markes risk scenario, sensitivites",EOD,Batch
Node123,Node131,2,Trade Confirmation,Intraday,MSG
Node118,Node123,1,Markets Data,Intraday,API
Node009,Node123,1,Markets Data,Intraday,API
Node002,Node123,2,Validated Markets Data,EOD,Batch
Node094,Node123,1,Trade Data,EOD,Batch
Node055,Node123,1,Markets Data,EOD,Batch
Node123,Node155,1,P&L,EOD,API
Node123,Node160,1,"PV, Trade Economic Details",EOD,API
Node123,Node097,1,PV,EOD,API
Node123,Node088,2,Totem,EOD,API
Node002,Node161,1,Trades,EOD,Batch
Node092,Node161,1,Trades,EOD,Batch
Node020,Node161,1,Trades,EOD,Batch
Node087,Node161,1,Trades,EOD,Batch
Node151,Node161,1,Trades,EOD,Batch
Node096,Node161,1,"Trades, Sensitivities",EOD,Batch
Node098,Node161,1,"Trades, Sensitivities",EOD,Batch
Node161,Node089,1,"Sensitivities, Risk factor",EOD,Batch
Node112,Node161,1,"Sensitivities, Scenario, Risk factor",EOD,Batch
Node151,Node158,2,"Currencies & Currency Pair, Portofolios & Cost Centres, Trade Data",Intraday,MSG
Node156,Node158,1,Customer Data,EOD,Batch
Node085,Node158,1,Holiday Calender,Intraday,API
Node092,Node158,2,"Customer Data, Trade Reconciliation",Intraday,MSG
Node097,Node158,2,"Currencies & Currency Pair, Portofolios & Cost Centres, Rate Conventions & FX Indices, Trade Data",Intraday,MSG
Node091,Node158,2,SWIFT Message,Intraday,MSG
Node106,Node158,2,Payments Processing,Intraday,MSG
Node134,Node158,2,CLS Pay In/Out + notifications,EOD,Batch
Node141,Node158,2,Matching Status,EOD,Batch
Node136,Node158,2,Reconciliation ,EOD,Batch
Node051,Node158,1,FI Settlement,EOD,Batch
Node158,Node119,1,Fax,eod,Batch
Node158,Node058,2,Authorise User,Intraday,API
Node089,Node157,1,IPV & bid/offer risk position data,EOD,Batch
Node097,Node157,1,Trades,EOD,Batch
Node098,Node157,1,Trades,EOD,Batch
Node085,Node157,1,"Trades, Trade reference data, Securities",Intraday,API
Node109,Node157,1,Regional FX Spot Rates,EOD,Batch
Node092,Node157,1,Business Reference Data,EOD,Batch
Node157,Node094,1,TLTB Balance,EOD,Batch
Node165,Node157,2,"Product hierarchy, P&L",EOD,Batch
Node156,Node164,2,Customer Data,Intraday,MSG
Node071,Node164,2,Customer Data,Intraday,MSG
Node005,Node164,2,FX Trades,Intraday,MSG
Node062,Node164,2,FX Trades,Intraday,MSG
Node151,Node164,2,"FX Trades, Fixed Income Trades, MM Trades",Intraday,MSG
Node123,Node164,2,"Commodities Trades, Fixed Income Trades, FX Trades",Intraday,MSG
Node164,Node058,1,,Intraday,MSG
Node127,Node164,2,,Intraday,MSG
Node103,Node164,2,,Intraday,MSG
Node131,Node164,2,,Intraday,MSG
Node097,Node164,2,,Intraday,MSG
Node098,Node164,2,,Intraday,MSG
Node158,Node164,2,,Intraday,MSG
Node164,Node092,1,,Intraday,MSG
Node164,Node162,1,,Intraday,MSG
Node164,Node122,1,,Intraday,MSG
Node028,Node164,2,,Intraday,MSG
Node085,Node164,2,,Intraday,MSG
